 time            v(vinp)         v(vout)        
 0.00000000e+00  7.50000000e-01  7.57675031e-01 
 2.50000000e-13  7.50000000e-01  7.57675031e-01 
 5.00000000e-13  7.50000000e-01  7.57675031e-01 
 1.00000000e-12  7.50000000e-01  7.57675031e-01 
 2.00000000e-12  7.50000000e-01  7.57675031e-01 
 4.00000000e-12  7.50000000e-01  7.57675031e-01 
 8.00000000e-12  7.50000000e-01  7.57675031e-01 
 1.60000000e-11  7.50000000e-01  7.57675031e-01 
 3.20000000e-11  7.50000000e-01  7.57675031e-01 
 5.70000000e-11  7.50000000e-01  7.57675031e-01 
 8.20000000e-11  7.50000000e-01  7.57675031e-01 
 1.07000000e-10  7.50000000e-01  7.57675031e-01 
 1.32000000e-10  7.50000000e-01  7.57675031e-01 
 1.57000000e-10  7.50000000e-01  7.57675031e-01 
 1.82000000e-10  7.50000000e-01  7.57675031e-01 
 2.07000000e-10  7.50000000e-01  7.57675031e-01 
 2.32000000e-10  7.50000000e-01  7.57675031e-01 
 2.57000000e-10  7.50000000e-01  7.57675031e-01 
 2.82000000e-10  7.50000000e-01  7.57675031e-01 
 3.07000000e-10  7.50000000e-01  7.57675031e-01 
 3.32000000e-10  7.50000000e-01  7.57675031e-01 
 3.57000000e-10  7.50000000e-01  7.57675031e-01 
 3.82000000e-10  7.50000000e-01  7.57675031e-01 
 4.07000000e-10  7.50000000e-01  7.57675031e-01 
 4.32000000e-10  7.50000000e-01  7.57675031e-01 
 4.57000000e-10  7.50000000e-01  7.57675031e-01 
 4.82000000e-10  7.50000000e-01  7.57675031e-01 
 5.07000000e-10  7.50000000e-01  7.57675031e-01 
 5.32000000e-10  7.50000000e-01  7.57675031e-01 
 5.57000000e-10  7.50000000e-01  7.57675031e-01 
 5.82000000e-10  7.50000000e-01  7.57675031e-01 
 6.07000000e-10  7.50000000e-01  7.57675031e-01 
 6.32000000e-10  7.50000000e-01  7.57675031e-01 
 6.57000000e-10  7.50000000e-01  7.57675031e-01 
 6.82000000e-10  7.50000000e-01  7.57675031e-01 
 7.07000000e-10  7.50000000e-01  7.57675031e-01 
 7.32000000e-10  7.50000000e-01  7.57675031e-01 
 7.57000000e-10  7.50000000e-01  7.57675031e-01 
 7.82000000e-10  7.50000000e-01  7.57675031e-01 
 8.07000000e-10  7.50000000e-01  7.57675031e-01 
 8.32000000e-10  7.50000000e-01  7.57675031e-01 
 8.57000000e-10  7.50000000e-01  7.57675031e-01 
 8.82000000e-10  7.50000000e-01  7.57675031e-01 
 9.07000000e-10  7.50000000e-01  7.57675031e-01 
 9.32000000e-10  7.50000000e-01  7.57675031e-01 
 9.57000000e-10  7.50000000e-01  7.57675031e-01 
 9.82000000e-10  7.50000000e-01  7.57675031e-01 
 1.00700000e-09  7.50000000e-01  7.57675031e-01 
 1.03200000e-09  7.50000000e-01  7.57675031e-01 
 1.05700000e-09  7.50000000e-01  7.57675031e-01 
 1.08200000e-09  7.50000000e-01  7.57675031e-01 
 1.10700000e-09  7.50000000e-01  7.57675031e-01 
 1.13200000e-09  7.50000000e-01  7.57675031e-01 
 1.15700000e-09  7.50000000e-01  7.57675031e-01 
 1.18200000e-09  7.50000000e-01  7.57675031e-01 
 1.20700000e-09  7.50000000e-01  7.57675031e-01 
 1.23200000e-09  7.50000000e-01  7.57675031e-01 
 1.25700000e-09  7.50000000e-01  7.57675031e-01 
 1.28200000e-09  7.50000000e-01  7.57675031e-01 
 1.30700000e-09  7.50000000e-01  7.57675031e-01 
 1.33200000e-09  7.50000000e-01  7.57675031e-01 
 1.35700000e-09  7.50000000e-01  7.57675031e-01 
 1.38200000e-09  7.50000000e-01  7.57675031e-01 
 1.40700000e-09  7.50000000e-01  7.57675031e-01 
 1.43200000e-09  7.50000000e-01  7.57675031e-01 
 1.45700000e-09  7.50000000e-01  7.57675031e-01 
 1.48200000e-09  7.50000000e-01  7.57675031e-01 
 1.50700000e-09  7.50000000e-01  7.57675031e-01 
 1.53200000e-09  7.50000000e-01  7.57675031e-01 
 1.55700000e-09  7.50000000e-01  7.57675031e-01 
 1.58200000e-09  7.50000000e-01  7.57675031e-01 
 1.60700000e-09  7.50000000e-01  7.57675031e-01 
 1.63200000e-09  7.50000000e-01  7.57675031e-01 
 1.65700000e-09  7.50000000e-01  7.57675031e-01 
 1.68200000e-09  7.50000000e-01  7.57675031e-01 
 1.70700000e-09  7.50000000e-01  7.57675031e-01 
 1.73200000e-09  7.50000000e-01  7.57675031e-01 
 1.75700000e-09  7.50000000e-01  7.57675031e-01 
 1.78200000e-09  7.50000000e-01  7.57675031e-01 
 1.80700000e-09  7.50000000e-01  7.57675031e-01 
 1.83200000e-09  7.50000000e-01  7.57675031e-01 
 1.85700000e-09  7.50000000e-01  7.57675031e-01 
 1.88200000e-09  7.50000000e-01  7.57675031e-01 
 1.90700000e-09  7.50000000e-01  7.57675031e-01 
 1.93200000e-09  7.50000000e-01  7.57675031e-01 
 1.95700000e-09  7.50000000e-01  7.57675031e-01 
 1.98200000e-09  7.50000000e-01  7.57675031e-01 
 2.00700000e-09  7.50000000e-01  7.57675031e-01 
 2.03200000e-09  7.50000000e-01  7.57675031e-01 
 2.05700000e-09  7.50000000e-01  7.57675031e-01 
 2.08200000e-09  7.50000000e-01  7.57675031e-01 
 2.10700000e-09  7.50000000e-01  7.57675031e-01 
 2.13200000e-09  7.50000000e-01  7.57675031e-01 
 2.15700000e-09  7.50000000e-01  7.57675031e-01 
 2.18200000e-09  7.50000000e-01  7.57675031e-01 
 2.20700000e-09  7.50000000e-01  7.57675031e-01 
 2.23200000e-09  7.50000000e-01  7.57675031e-01 
 2.25700000e-09  7.50000000e-01  7.57675031e-01 
 2.28200000e-09  7.50000000e-01  7.57675031e-01 
 2.30700000e-09  7.50000000e-01  7.57675031e-01 
 2.33200000e-09  7.50000000e-01  7.57675031e-01 
 2.35700000e-09  7.50000000e-01  7.57675031e-01 
 2.38200000e-09  7.50000000e-01  7.57675031e-01 
 2.40700000e-09  7.50000000e-01  7.57675031e-01 
 2.43200000e-09  7.50000000e-01  7.57675031e-01 
 2.45700000e-09  7.50000000e-01  7.57675031e-01 
 2.48200000e-09  7.50000000e-01  7.57675031e-01 
 2.50700000e-09  7.50000000e-01  7.57675031e-01 
 2.53200000e-09  7.50000000e-01  7.57675031e-01 
 2.55700000e-09  7.50000000e-01  7.57675031e-01 
 2.58200000e-09  7.50000000e-01  7.57675031e-01 
 2.60700000e-09  7.50000000e-01  7.57675031e-01 
 2.63200000e-09  7.50000000e-01  7.57675031e-01 
 2.65700000e-09  7.50000000e-01  7.57675031e-01 
 2.68200000e-09  7.50000000e-01  7.57675031e-01 
 2.70700000e-09  7.50000000e-01  7.57675031e-01 
 2.73200000e-09  7.50000000e-01  7.57675031e-01 
 2.75700000e-09  7.50000000e-01  7.57675031e-01 
